MinE_Orb; E_min; Last_Orb; E_last; Last_MO
120; 1.707860; 125; 1.798450;  13C 9H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
120; 1.707860; 125; 1.798450;  13C 9H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
121; 1.715660; 120; 1.694030;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
119; 1.704550; 118; 1.627080;  13C 9H 8H 16H 6H 12O 0C 1C 14H 2C 3C 15H 4C 5C
122; 1.735210; 125; 1.798450;  13C 9H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
122; 1.735210; 125; 1.798450;  13C 9H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
121; 1.715660; 120; 1.694030;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
125; 1.778790; 127; 1.831060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
127; 1.816460; 126; 1.817390;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
126; 1.810640; 125; 1.798450;  13C 9H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
129; 1.863520; 128; 1.866120;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
130; 1.875420; 128; 1.866120;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
132; 1.884940; 130; 1.897200;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
128; 1.830180; 127; 1.831060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
133; 1.909140; 133; 1.914700;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
128; 1.830180; 127; 1.831060;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
135; 1.988550; 135; 1.968800;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
131; 1.881840; 130; 1.897200;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
136; 2.080640; 136; 2.010010;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
137; 2.093210; 139; 2.128830;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
138; 2.158870; 139; 2.128830;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
141; 2.227200; 141; 2.241380;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
139; 2.192590; 137; 2.058570;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
140; 2.208110; 140; 2.145560;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
142; 2.236440; 142; 2.251690;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
144; 2.279360; 145; 2.296200;  13C 9H 8H 16H 6H 7H 0C 1C 2C 3C 15H 12O 4C 5C
143; 2.260750; 143; 2.264300;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
145; 2.293230; 144; 2.269560;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
146; 2.349210; 146; 2.318440;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
150; 2.424710; 150; 2.431670;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
147; 2.369170; 146; 2.318440;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
150; 2.424710; 150; 2.431670;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
150; 2.424710; 150; 2.431670;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
150; 2.424710; 150; 2.431670;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
149; 2.407220; 152; 2.440710;  11N 10N
152; 2.448110; 151; 2.437030;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
154; 2.521920; 154; 2.516470;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
155; 2.531120; 154; 2.516470;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
156; 2.547570; 157; 2.561160;  11N 10N
157; 2.596840; 156; 2.556960;  13C 9H 8H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
160; 2.697090; 160; 2.651480;  13C 9H 8H 16H 6H 7H 0C 1C 2C 3C 15H 12O 4C 5C
158; 2.630570; 159; 2.581720;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
161; 2.708410; 160; 2.651480;  13C 9H 8H 16H 6H 7H 0C 1C 2C 3C 15H 12O 4C 5C
162; 2.827010; 162; 2.728000;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
164; 2.976920; 163; 2.793030;  11N 10N
165; 3.003380; 165; 2.911790;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
165; 3.003380; 165; 2.911790;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
166; 3.064410; 166; 2.942140;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
159; 2.661940; 155; 2.529290;  13C 9H 8H 16H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
167; 3.071330; 168; 3.059360;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
168; 3.127790; 167; 3.040850;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
171; 3.253290; 171; 3.245000;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
169; 3.210100; 169; 3.120450;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
172; 3.303210; 172; 3.292670;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
173; 3.366330; 173; 3.400560;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
170; 3.221100; 170; 3.163620;  13C 9H 8H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C
0; -19.359880; 0; -19.364980;  13C 9H 8H 16H 6H 7H 0C 1C 14H 2C 3C 15H 12O 4C 5C

