MinE_Orb; E_min; Last_Orb; E_last; Last_MO
121; 2.436320; 122; 2.516120;  10H 12H 6H 0C 1C 2C 3C 4C 5C
117; 2.338370; 114; 2.266650;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
123; 2.499090; 118; 2.327120;  10H 6H 11H 7H 0C 1C 2C 3C 4C 5C
122; 2.451930; 125; 2.564810;  8N 9N
120; 2.412690; 120; 2.444340;  8N 9N
125; 2.628520; 126; 2.565680;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
124; 2.594390; 123; 2.547790;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
129; 2.984220; 128; 2.763950;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
129; 2.984220; 128; 2.763950;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
128; 2.895900; 127; 2.702640;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
131; 3.060010; 132; 3.044890;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
130; 3.056510; 131; 3.025490;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
126; 2.632770; 125; 2.564810;  8N 9N
132; 3.107140; 130; 2.990330;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
133; 3.182010; 133; 3.103910;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
135; 3.346090; 135; 3.409880;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
134; 3.269290; 134; 3.222590;  10H 12H 6H 11H 7H 0C 1C 2C 3C 4C 5C
0; -14.730920; 0; -14.472180;  8N 9N

