MinE_Orb; E_min; Last_Orb; E_last; Last_MO
50; 0.061360; 51; 0.037430;  9H 8H 10N 11O 7H 0C 1C 2C 3C 12O 4C 5C
113; 1.480450; 118; 1.518500;  14N 13N
66; 0.388480; 56; 0.205210;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
42; -0.169070; 46; -0.053810;  14N 13N
116; 1.534010; 115; 1.479100;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
117; 1.537510; 12; -1.231420;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
119; 1.575980; 116; 1.496570;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
121; 1.650270; 14; -1.151980;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
120; 1.628470; 114; 1.458230;  8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
118; 1.559930; 117; 1.507680;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
122; 1.657330; 19; -0.820460;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
57; 0.291020; 56; 0.205210;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
123; 1.662570; 56; 0.205210;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
124; 1.670570; 125; 1.675980;  9H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
125; 1.695630; 12; -1.231420;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
127; 1.726310; 19; -0.820460;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
128; 1.727900; 129; 1.750380;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
41; -0.224260; 40; -0.265200;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
164; 2.831630; 11; -1.400260;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
131; 1.783260; 12; -1.231420;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
132; 1.815420; 118; 1.518500;  14N 13N
135; 1.881540; 12; -1.231420;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
133; 1.824390; 127; 1.721130;  9H 8H 10N 6H 11O 7H 0C 1C 2C 3C 12O 4C 5C
134; 1.879760; 134; 1.909260;  14N 13N
